Zone,Artemisia #,GPS Point #,Longest Branch (cm) 
F3,1,1,35
F3,2,2,65
F3,3,3,73
F3,4,4,65
F3,5,5,107
F3,6,6,110
F3,7,7,100
F3,8,8,68
F3,9,9,75
F3,10,10,174
F3,11,11,100
F3,12,12,92
F3,13,13,100
F3,14,14,105
F3,15,15,96
F3,16,16,80
F3,17,17,74
F3,18,18,110
F3,19,19,62
F3,20,20,64
